customer_id,product_id,product_category,purchase_amount,purchase_date
474,37,Category 4,165.11,2022-01-11
172,36,Category 1,725.79,2022-10-18
180,33,Category 2,179.53,2022-06-02
131,46,Category 4,73.39,2022-11-09
490,5,Category 5,357.28,2022-05-08
212,37,Category 4,422.1,2022-08-26
335,18,Category 4,20.42,2022-10-01
292,6,Category 1,379.5,2022-10-17
288,47,Category 2,733.92,2022-10-22
103,30,Category 4,946.81,2022-12-19
189,33,Category 2,216.73,2022-10-31
328,24,Category 2,977.29,2022-01-27
374,6,Category 1,640.52,2022-02-04
271,2,Category 4,866.01,2022-04-09
223,41,Category 2,373.47,2022-11-05
49,41,Category 2,782.36,2022-10-02
477,27,Category 1,460.17,2022-01-16
30,47,Category 2,772.35,2022-02-24
385,4,Category 1,651.43,2022-05-07
103,15,Category 3,960.29,2022-01-19
371,26,Category 1,76.47,2022-04-12
247,11,Category 3,716.55,2022-04-13
77,4,Category 1,27.32,2022-03-11
493,37,Category 4,82.46,2022-03-14
120,43,Category 2,75.49,2022-05-18
38,25,Category 1,755.9,2022-09-22
490,30,Category 4,781.94,2022-09-05
181,37,Category 4,709.43,2022-10-02
58,13,Category 1,99.52,2022-09-02
214,42,Category 2,80.19,2022-03-08
283,28,Category 3,93.47,2022-11-14
81,23,Category 2,95.12,2022-01-04
111,4,Category 1,625.71,2022-02-21
265,36,Category 1,97.55,2022-03-03
135,46,Category 4,292.05,2022-01-24
464,19,Category 5,232.07,2022-10-15
285,28,Category 3,798.49,2022-12-22
491,35,Category 2,770.67,2022-01-11
389,1,Category 4,950.55,2022-09-28
238,7,Category 5,505.55,2022-03-31
73,8,Category 1,979.73,2022-05-15
169,44,Category 2,743.15,2022-03-08
109,2,Category 4,546.99,2022-10-09
459,31,Category 4,561.85,2022-05-01
220,15,Category 3,477.38,2022-09-14
480,38,Category 3,385.85,2022-05-25
297,18,Category 4,224.97,2022-12-16
470,21,Category 1,796.67,2022-10-06
431,7,Category 5,363.56,2022-12-27
166,35,Category 2,148.47,2022-08-24
281,38,Category 3,52.45,2022-06-28
100,43,Category 2,185.7,2022-12-26
157,45,Category 3,707.77,2022-10-16
430,5,Category 5,784.92,2022-07-12
489,9,Category 1,183.02,2022-06-24
289,34,Category 5,385.35,2022-07-16
2,36,Category 1,480.53,2022-08-09
60,32,Category 2,505.24,2022-12-27
471,15,Category 3,535.32,2022-01-02
90,28,Category 3,677.25,2022-03-25
220,50,Category 4,610.56,2022-04-28
255,24,Category 2,579.18,2022-04-09
96,5,Category 5,984.71,2022-09-18
459,31,Category 4,359.16,2022-04-18
83,47,Category 2,218.94,2022-05-08
338,23,Category 2,271.99,2022-10-03
316,26,Category 1,889.39,2022-11-23
276,43,Category 2,509.2,2022-09-09
266,8,Category 1,786.52,2022-01-21
154,49,Category 5,710.85,2022-05-22
241,13,Category 1,238.66,2022-12-07
205,44,Category 2,952.77,2022-08-26
437,41,Category 2,773.57,2022-10-07
329,17,Category 5,244.61,2022-09-15
436,6,Category 1,657.9,2022-04-02
290,24,Category 2,143.97,2022-07-19
494,41,Category 2,344.24,2022-08-12
305,33,Category 2,146.79,2022-02-10
135,1,Category 4,448.85,2022-04-04
424,21,Category 1,332.49,2022-04-14
187,40,Category 4,310.96,2022-05-07
476,18,Category 4,64.63,2022-11-20
428,22,Category 4,127.11,2022-09-22
302,15,Category 3,387.82,2022-01-18
422,35,Category 2,734.49,2022-04-05
178,5,Category 5,589.09,2022-05-02
410,48,Category 3,520.14,2022-03-23
140,15,Category 3,324.37,2022-09-05
135,8,Category 1,747.34,2022-11-14
318,21,Category 1,552.82,2022-03-17
500,41,Category 2,924.08,2022-07-22
398,45,Category 3,626.57,2022-01-25
396,37,Category 4,572.61,2022-01-28
345,2,Category 4,739.65,2022-07-29
261,11,Category 3,231.71,2022-04-06
15,18,Category 4,71.93,2022-12-28
498,19,Category 5,102.5,2022-09-28
408,19,Category 5,592.25,2022-05-28
399,17,Category 5,65.75,2022-08-17
209,10,Category 3,91.78,2022-08-06
50,20,Category 2,20.36,2022-08-28
335,8,Category 1,787.0,2022-04-12
184,27,Category 1,712.74,2022-10-04
183,50,Category 4,18.6,2022-04-27
470,21,Category 1,367.47,2022-04-02
90,30,Category 4,764.11,2022-10-21
143,27,Category 1,478.52,2022-12-11
348,47,Category 2,855.15,2022-12-05
333,7,Category 5,941.13,2022-11-01
6,34,Category 5,996.57,2022-07-05
483,39,Category 4,552.74,2022-07-09
62,5,Category 5,500.47,2022-05-16
292,11,Category 3,14.66,2022-02-19
223,47,Category 2,544.66,2022-11-28
150,45,Category 3,523.35,2022-12-28
313,33,Category 2,253.27,2022-09-20
